,text
145,"RT @CAgovernor: LIVE NOW: Governor @GavinNewsom highlights his COVID-19 emergency response package to expand testing, accelerate vaccinatio…"
146,"RT @CAgovernor: TUNE IN: Governor @GavinNewsom highlights his COVID-19 emergency response package to expand testing, accelerate vaccination…"
147,Tune in now to hear about CA’s $14 billion plan to tackle the homeless crisis. https://t.co/GVHNcoc8NL
148,"More funding to make college more affordable. That means lowering the TOTAL cost -- from housing, to textbooks, to more financial aid, and more slots for in-state tuition. https://t.co/QDmeHEvwo8"
149,"RT @CAgovernor: The #CAblueprint will make CA the 1st state in the country to achieve universal access to health care, regardless of immigr…"
150,Tune in now to hear about how CA will become the first state to achieve universal access to healthcare coverage. https://t.co/Syji1Zqd0B
151,RT @CAgovernor: TUNE IN: Governor Newsom highlights his #CAblueprint proposal to achieve universal access to healthcare coverage and increa…
152,"RT @CAgovernor: Climate change is causing extreme impacts &amp; the #CAblueprint will help combat the climate crisis:
-more firefighting effort…"
153,"RT @calstate: CSU Chancellor @JosephICastro released a statement today on @CAgovernor @GavinNewsom's January budget proposal, which include…"
154,"RT @CAgovernor: We’re doubling down on the work of the last several years to directly respond to COVID-19, persistent inequality &amp; homeless…"
155,RT @MayorJerryDyer: https://t.co/hSO97ZAMHW
156,"NEW: CA will explore ways to contract and manufacture our own insulin to reduce costs.

Insulin should not drain your bank account."
157,"In the last year, California has gotten 58,000 people off the streets and into housing and treatment programs.

Now, we’re doing even more — with $2B focused on clearing encampments and providing more housing for people with mental health and addiction issues."
158,"The California Blueprint:
- Universal Pre-K
- Universal School Meals
- Highest per pupil spending ever 
- More before, after, and summer school
- More arts and STEM programs
- More financial aid for college

All while keeping our classrooms safe."
159,"Unlike other states, California is EXPANDING ACCESS to abortion services.

Our new CA Blueprint expands flexibility for providers so more women can have more access to reproductive care."
160,"BREAKING: With our new proposal, California will be the FIRST STATE to achieve universal access to healthcare coverage."
161,"NEW: With a surplus of over $45.7 BILLION -- California is a model for the nation on how we can confront our greatest existential threats and make historic investments in our future.

We can lead with science and still have a successful economy."
162,Tune in now for some major announcements! https://t.co/UI8OtSbqdk
163,"RT @CAgovernor: TUNE IN: Governor @GavinNewsom presents his proposed plan for the 2022-23 fiscal year.

Watch live at 10:30AM:
YT: https://…"
164,"We are proposing a NEW COVID-19 Emergency Response Package that will be the largest in the nation and will provide immediate funding for:

- More tests 
- More vaccines and boosters 
- More support for hospitals 
- More partnerships to fight misinformation https://t.co/ejibt0cb33"
165,RT @CAgovernor: GM is joining California in our fight for clean air &amp; emission reduction as part of the their pursuit of a zero-emissions f…
166,"RT @ABC7: With new #COVID cases surging across the state, @GavinNewsom proposed spending another $2.7 billion to expand testing and boost h…"
167,"NEW: California now prohibits price-gouging for at-home COVID tests.

Because when you’re sick, you should not have to worry about being cheated too.
https://t.co/F6bQAksXwm"
168,"RT @CAgovernor: We’re proposing the largest COVID-19 emergency response package in the nation!

Our $2.7 billion plan, including $1.4 billi…"
169,"RT @tedlieu: Dear @TexasGOP: One of the reasons California is better than Texas (other than the fact that we have Disneyland), is that we c…"
170,"NEW: California is deploying the National Guard to testing sites to help expand capacity.

If you’re feeling sick, don’t hesitate to get tested.

Make an appointment now: https://t.co/gyG4api36l https://t.co/pV60vHx3SF"
171,"RT @CAgovernor: Omicron has grown faster than any variant we've seen in California:
- On December 1, the first known case was detected
- By…"
172,"RT @POTUS: Last year, for the first time in our history, a president who just lost an election tried to prevent the peaceful transfer of po…"
173,"RT @CAgovernor: Through new investments and ongoing coordination with local agencies, our Real Public Safety Plan will bolster our preventi…"
174,RT @NapaCOE: @CAgovernor has sent at-home COVID-19 test kits to County Offices of Education across California for testing of public school…
175,"RT @CAgovernor: More tests are en route for California’s students!

These at-home test kits arrived last night at our warehouse and will im…"
176,.@LorenaSGonzalez is a fighter and fierce leader who will do incredible things in her next role. Congrats! https://t.co/QzBzYGjR9l
177,"Great news -- more protection for more people. Boosters are our best defense against Omicron.

If you’re eligible, get yours today. https://t.co/V02lOdvLp3"
178,Good morning. It's a great day to get your booster.
179,RT @CA_DWR: December storms have added to California’s seasonal snowpack and provided run off to our parched streams &amp; reservoirs. While th…
180,"It's now official. California is a universal vote by mail state.

Voters in all statewide elections will receive a ballot in the mail. Those who still want to vote in person can do so.

While other states roll back access to voting -- we're EXPANDING IT. https://t.co/zGXkPPobBa"
181,"RT @CAgovernor: Happy New Year, California! 

Tonight, as we ring in the new year, let us reflect on the incredible work we've accomplished…"
182,"RT @CAgovernor: Rapid tests are starting to be delivered to county offices of education throughout the state! 

Here in Alameda county, par…"
183,"RT @Cal_OES: We have the best of the best out clearing roads and downed trees following the storms.

Specialized crews from @CAL_FIRE &amp; @Ca…"
184,"RT @CAL_FIRE: With increasing #snow from winter storms CAL FIRE is working with our partners at @CaltransHQ, @Cal_OES, and @CHP_HQ to clear…"
185,"Grateful for our emergency responders working through severe weather conditions to keep communities safe during these winter storms.

@Cal_OES has activated the State Ops Center to monitor &amp; coordinate assistance.

Please avoid traveling on mountain roads until conditions improve"
186,"RT @CaltransHQ: PLEASE AVOID SIERRA TRAVEL DURING THIS RECORD SNOWSTORM UNLESS IT IS ESSENTIAL. 

⚠️Avalanche concerns
⚠️Downed trees
⚠️Rec…"
187,RT @CAgovernor: Thank you to California’s road crews and emergency responders working around the clock during these record winter storms.…
188,"RT @CaltransHQ: ⚠️ Wednesday, Dec 29, 2021 ⚠️ AVOID SIERRA TRAVEL DURING THIS RECORD SNOWSTORM UNLESS IT IS ESSENTIAL. Please remember to r…"
189,"COVID-19 booster shots increase antibody levels by more than 20 TIMES.  

Walk-in. Make an appointment. It’s free. https://t.co/PepleSyC5j"
190,RT @CAgovernor: Harry Reid was a tough but compassionate leader – a true fighter for the people in the Senate where he steered legislation…
191,"Tonight we mourn John Madden — he redefined the role of a sports broadcaster — his voice as recognizable as anyone who ever did the job. He hoisted a Super Bowl trophy with CA’s own Oakland Raiders.

Our thoughts are with his family as we mourn this incredible man."
192,"Study after study show that getting your booster is the best way to protect against Omicron.

The new variant is spreading quickly.

Now is not the time to wait.

Find a walk-in clinic or make an appointment for your free COVID-19 booster TODAY. https://t.co/PepleSyC5j"
193,California will align with the CDC’s updated guidelines for isolation and quarantine time. https://t.co/u81I8ebynI
194,RT @CAgovernor: LIVE NOW: Governor @GavinNewsom joins a @NatlGovsAssoc call with @POTUS &amp; the @WhiteHouse COVID-19 response team. https://t…
195,"RT @CAgovernor: From a gumball machines to the landscapes of San Francisco, Wayne Thiebaud transformed everyday life into an iconic stateme…"
196,"“Do your little bit of good where you are; it's those little bits of good put together that overwhelm the world.”

Rest in power.
https://t.co/Bc4mlDK5rW"
197,"Merry Christmas from our family to yours! Wishing you lots of joy, love, and cheer today! 🎄 https://t.co/pjgh6ROGZ2"
198,"Santa’s reindeer have been cleared for landing! 🦌

Merry Christmas, everyone! https://t.co/NSFX4N1Lnu"
199,"RT @CAgovernor: Joan Didion was a culture bearer, a California Hall of Famer, and a Sacramento, California native.

While we mourn this gre…"
200,Today’s a good day to get your booster.
201,RT @RobertGarcia: Thank you Governor @GavinNewsom for your support. You have been an incredible partner in fighting this pandemic and suppo…
202,Despite the nay sayers….Santa’s sleigh found his way. https://t.co/5XSOesDnNY
203,"One year ago today, I appointed @AlexPadilla4CA to become California’s first Latino US Senator.

Since then, he has been a fighter and champion for CA values -- we are all better off thanks to your work in Washington, Senator!  https://t.co/xiAzpTS42Y"
204,"NEW: CA is expanding access to testing to keep Californians safe this holiday season.

- We are extending hours at testing sites with increased demand.

- We will distribute at-home test kits to every K-12 student returning to public school so we can keep our classrooms safe."
205,Tune in now. https://t.co/sYhAOLLdRf
206,Live on TikTok getting a COVID test and talking about CA’s new actions to keep Californians safe. Tune in now.
207,Tune in for some important announcements. https://t.co/MmrPgwlgAV
208,"RT @davidhogg111: Democrats should apply Supreme Court’s abortion decision to firearms - The Boston Globe

Check out the opinion piece I ju…"
209,RT @tribelaw: Here’s why I think every State that’s serious about lowering gun deaths should follow CA’s lead in using the path the Supreme…
