,text
91,"In 2017, it was estimated that Putin was worth $200 billion which, at the time, made him wealthier than Bill Gates &amp; Jeff Bezos combined. No one knows how much Putin is worth today, but 22 other Russian oligarchs have a combined net worth of nearly $300 billion today. (5/14)"
92,"The hidden offshore wealth of Russia’s oligarchs amounted to about 85% of Russia’s GDP in 2015. While 18 million people in Russia were living in poverty last year, Russia’s 120 billionaires owned $588 billion in wealth equal to 60% of the total household wealth in Russia. (4/14)"
93,"The top 0.01% in Russia has stashed over two-thirds of its wealth offshore, while the top 1% in Russia owns as much wealth offshore as the rest of the Russian population holds onshore. Globally, the rich &amp; powerful have stashed at least $21 trillion in offshore tax havens. (3/14)"
94,"Incredibly, the 500 richest people in Russia with a net worth of at least $100 million now own more wealth than the bottom 99.8% of Russia’s population - 145 million people. This is the type of inequality that exists not just in Russia, but throughout the world. (2/14)"
95,"Putin is not only an autocrat who initiated an illegal &amp; immoral war against Ukraine, he's the leader of an oligarchic kleptocracy that's stolen billions from the Russian people. In Russia, ordinary people struggle while Oligarchs make out like bandits – which they are. (1/14)"
96,"It is no great secret that we have a broken criminal justice system in this country. @MerrittForTexas has the courage to stand up and to take on the powerful. As Texas Attorney General, he will make it clear that no CEO is too big to jail. https://t.co/Nj7gB85WU7"
97,"RT @GregCasar: Polls are officially open! Let’s vote for a better Texas, y’all."
98,"RT @JCisnerosTX: IT’S ELECTION DAY. 

Polls are open from  7 AM - 7 PM.

Make a plan and find your polling location here: https://t.co/BmHh…"
99,"TEXAS: today you've got the chance to vote for bold leaders who will fight for the needs of working people.

In TX-28: @JCisnerosTX for U.S. Congress
In TX-35: @GregCasar for U.S. Congress
For Attorney General: @MerrittForTexas

Polls are open NOW until 7 PM. 

VOTE! VOTE! VOTE! https://t.co/1DfsrUBEao"
100,"I stand in solidarity with the 1,300 workers at the Hershey's factory in Virginia who are voting to join a union after the company made a $1.47 billion profit last year. I say to Hershey's: Stop the union busting. Stop the intimidation. Treat your workers with dignity &amp; respect."
101,"At a time when so many Americans are hurting and feel totally powerless, Starbucks workers are taking on corporate greed and winning. They are an inspiration to all of us. https://t.co/wAlf8hF3ci"
102,"Congratulations to the workers in Mesa, Arizona for overwhelmingly voting to form the 3rd union shop at Starbucks. The movement to unionize Starbucks is spreading like wildfire. When workers stand up and fight for their dignity, there is no stopping them. https://t.co/j1BPuzF1JG"
103,Putin and his oligarch friends don't want you to see these images. Participating in an anti-war march in an authoritarian country is no small thing. It requires enormous courage. These very brave people deserve our respect and gratitude. https://t.co/y8lYmNepds
104,"Today, I stand in solidarity with the Ukrainian people against this war and with the Russian people who are demonstrating against their corrupt, reckless president who started it."
105,"Putin, a multi-billionaire, is the poster boy for greed and oligarchy. Maybe, before starting a war that could kill thousands and displace millions, he might worry more about the people of Ukraine and Russia and less about his precious super-yacht. https://t.co/fVb5SjFXm5"
106,"Ice cream cakemakers at Jon Donaire bakery went on strike four months ago. They stood up to corporate greed, fought for dignity on the job, and they won.
 
Congratulations to the @BCTGM workers who secured a much improved contract. 
https://t.co/Bq0GTQZBuH"
107,You and the work you are doing are an inspiration to so many of us. Thank YOU to the workers who are organizing every day against the forces of corporate greed. https://t.co/tpYmhnO1A2
108,"If you start a job at Starbucks tomorrow, are you going to make a livable wage? ""Absolutely not.""

Will you be able to afford to see a doctor? ""Not at all.""

Unacceptable. https://t.co/ylP7871Dy0"
109,RT @BernieSanders: The organizing effort at Starbucks is spreading like wildfire. We’re LIVE now with workers who are taking on exactly the…
110,"Let me say a word to the younger generation. You have had it tough — but in my humble opinion, you are a great generation. You are anti-racist, anti-sexist, anti-homophobia, anti-xenophobia. And your generation has shown the courage to take on corporate greed. https://t.co/YFH99lbIso"
111,"The organizing effort at Starbucks is spreading like wildfire. We’re LIVE now with workers who are taking on exactly the kind of corporate greed that is creating historic levels of inequality across this country.  

https://t.co/hOUbYbo7U9"
112,LIVE: Starbucks is doing VERY well. Revenues are up. Profits are up. Even its CEO’s pay is up. So why is the company doing all it can to stop workers from organizing unions? We’re talking with Starbucks workers from around the country NOW to find out. https://t.co/hOUbYbFILH
113,"RT @SBWorkersUnited: In just a few minutes, Bernie Sanders will be joined by partners from Knoxville, Memphis, Boston, and Denver to talk a…"
114,"RT @StormCarter23: So grateful to Senator Sanders for this incredible opportunity! Catch me and other organizing partners, including my dea…"
115,"Profits at Starbucks are UP and the CEO got a BIG raise last year. But the company is doing all it can to stop workers from organizing unions at locations around the country. 

Join me tonight at 8 PM ET as a few of them tell us how they're taking on Starbucks’ greed. https://t.co/Ym9Mo02A36"
116,"It is no small feat to stand up to an enormous corporation like Starbucks and to say, ""you know what? I deserve dignity, I deserve respect, I deserve a decent wage.""

Join me and Starbucks workers for a town hall discussion TONIGHT at 8 PM ET. https://t.co/jIJzzrzLsq"
117,Starbucks workers should be able to form a union without fear of being fired. End of discussion.
118,"Take a look around the economy today.

McDonald's: profits up 59%. They're raising prices.

Starbucks: record profits. They're raising prices.

Amazon: record profits. Shock of shocks! They're raising prices!

Maybe — just maybe — we've got a corporate greed problem."
119,"Workers at Starbucks have ignited a nationwide movement united in the struggle for dignity and respect on the job.
They're organizing in New York, in Tennessee, in California, and in states all across this country. Join our town hall discussion this Wednesday at 8 PM ET. https://t.co/JZLtMH74p6"
120,"Meanwhile, real wages for the working class of this country have barely budged in 50 years. https://t.co/J67GP66EbD"
121,"Think the Gilded Age is 'ancient history'? WRONG.

The average American worker produces far more today than they did decades ago, yet that worker is worse off economically than they were in 1973."
122,"Many millions of Russians and Ukrainians died during World War II. The Russian and Ukrainian people do not need a new war, nor does the rest of the world. There is a diplomatic solution to this crisis. It is tragic that Putin seems intent on rejecting it."
123,This is what the war on women's rights looks like. They want to take us back to the 19th century. https://t.co/EGEj7UfRm3
124,"A corrupt political system is 745 billionaires becoming $2.1 trillion richer during the pandemic, while 3.7 million children slipped back into poverty last month because corporate Republicans and corporate Democrats refused to extend the $300 a month Child Tax Credit."
125,"Good. Now cancel the remaining $1,883,214,046,704 for 44,984,000 other Americans who are still drowning in student debt. https://t.co/Z9mkxKHst2"
126,"It is not a luxury to be able to hear the world around you.

It is not a luxury to keep teeth in your mouth.

It is not a luxury to be able to see the people around you.

Medicare can and must be expanded to cover hearing, dental, and vision care."
127,I’m endorsing Lee Merritt for Texas Attorney General because he understands that our broken criminal justice system puts poor people in jail while Wall Street crooks &amp; pharmaceutical executives aren’t held accountable for their crimes. He has the courage to take on the powerful. https://t.co/NOPhnzgZlC
128,"7 out of 10 millennials in this country are living paycheck to paycheck.
6 out of 10 millennials could not afford to cover a $1,000 emergency.
Nearly 7 in 10 are still working to pay off enormous amounts of student debt.

That's not an economy we should accept."
129,"If we do not summon the courage to take on corporate greed, if we do not summon the courage to stand up to the moneyed interests, future generations will look back at this Congress and will rightly ask, 'where were you?'."
130,"How is it that Warrior Met can afford $1.5 BILLION in stock buybacks, but somehow they cannot manage to afford to treat its workers with dignity and respect and pay them a decent wage? https://t.co/MICH66EMIf"
131,"Here is the economic situation in America today. Desperate workers who live paycheck to paycheck are forced to go to work. Thousands of them have died on the job. But hey, a handful of billionaires became over $2 trillion richer.

That's not an economic system we should accept."
132,"Hear me out, because this is a far-out concept... what if instead we just made the wealthy and huge corporations pay their taxes here on earth? https://t.co/PjjLUK494t"
133,".@GregCasar understands that what we need in the Congress in this moment in history are leaders who are willing to stand up and to act boldly in the interest of justice.

TEXAS: early voting is happening NOW until next Friday, February 25th. VOTE! VOTE! VOTE! https://t.co/0N0bQ9mgNV"
134,"We need @JCisnerosTX in the Congress to fight for decent-paying jobs and an economy that works for all of us.

Texas, early voting is underway from now until Friday, February 25th. VOTE! https://t.co/JWUOkd7w54"
135,"When you think about income and wealth inequality, it is less about the fact that billionaires are getting phenomenally richer. It is that tens of millions of working class Americans are needlessly suffering under economic hardship in the richest country ever to exist."
136,"We are living through the most difficult period in our lifetimes. If you feel anxious, depressed, overwhelmed, confused, angry — you’re not alone. Millions feel exactly the same way. But the answer is not to bury our heads in the sand or wallow in despair. It is to fight back."
137,"RT @JCisnerosTX: I am honored to have the support of @BernieSanders.

Our campaign is fighting back Cuellar’s Republican corporate backers…"
138,"RT @GregCasar: BIG NEWS: @BernieSanders has endorsed our campaign for a better Texas! Together, we are committed to a bold agenda for worki…"
139,"I am proud to endorse @GregCasar for Congress. Greg is committed to fighting on behalf of this country's working class. From fighting to raise the minimum wage to enacting paid sick leave, he understands that in the richest country on earth, all of us can live a life of dignity. https://t.co/Hx0Ht1DY22"
140,"I am proud to endorse @JCisnerosTX for Congress. She knows that real change comes from the bottom on up, not the top on down. She will fight for the working class in Congress, and together we will build a movement to transform this nation so that it works for all our people. https://t.co/k05EeJeT9N"
141,"Listen to this.

According to a new study, if income for the bottom 90% of this country grew at the same rate as did overall economic growth since 1975, workers would have an additional $47 TRILLION.

When we talk about a rigged economy, that's exactly what we're talking about."
142,"If you are an American in need of Advair Diskus for your asthma, you can expect to pay $1,277.
In Canada? $378.

If you are an American in need of Crestor for your cholesterol, you can expect to pay $969.
In Canada? $204.

The American people are getting ripped off. ENOUGH."
143,A handful of giant Wall Street firms now control over $20 trillion in assets and many hundreds of companies. Never before have so few owned and controlled so much.
144,I don't know how you bring about change without fighting for it — I don't think you do. There is always struggle. Anybody who tells you that change takes place without a fight isn't telling you the truth — they're trying to put you to sleep.
145,"From 1979-2020:
Wages for the top 1%:  ⬆️ 179%
Wages for the top 0.1%: ⬆️ 389%
Wages for the bottom 90%: ⬆️ 28%

Who is our economy working for?"
146,"Taking on the greed of the pharmaceutical industry and lowering the cost of prescription drugs — not a radical idea!

Accepting it as 'normal' that the American people pay 14 TIMES MORE for insulin than the people of England, now THERE'S a radical idea!"
147,"The problem is not that a low-income worker got a 50 cent raise two weeks ago and a $1,400 check last year. The problem is that corporations are using ""inflation"" as an excuse to jack up prices so that they can make record-breaking profits to enrich CEOs and wealthy shareholders."
148,The most effective way to deliver real power to this country's working class is by rebuilding the trade union movement.
149,"You ready for a radical idea?

Maybe — JUST MAYBE — the Congress can begin to represent the needs of the people of this country, not the wishes of the pharmaceutical industry."
150,"How many people in our country have to die?
How many of our people need to get unnecessarily sicker for Congress to summon the courage to stand up to Big Pharma's greed?

A life-saving drug doesn't mean a damn thing if you cannot afford the cost."
151,"How much has Big Pharma spent lobbying members of the Republican and Democratic parties? $4.5 BILLION — that's billion with a 'B'. 

Yes, you read that correctly — BILLION.

Want to know why you pay 10x more for your prescription drugs than other major countries? Start there."
152,"For decades, members of Congress have bemoaned the high price of prescription drugs.

They've given speech after speech. They've cut ad after ad. Talk, talk, talk. ENOUGH TALK!

It's time to act. Let's take on the greed of the pharmaceutical industry."
153,War is a horror. We must do everything humanly possible to avoid it. https://t.co/CzrkxhE1Fp
154,"You see it over and over. A corporation is greedy, treats its workers poorly. Those workers organize and form a union, the corporation tries to break up that union. And why? Because in a union, it is workers who have the power. And nothing scares corporate America more than that."
155,"Think about this. A diabetic mom in Detroit, Michigan spends upwards of $300 for one vial of insulin.

Just 7 miles away, in Windsor, Ontario, Canada, a diabetic mom pays ONE TENTH of that — around $35 — for the exact same insulin.

Does that make any sense to you at all?"
156,"I get concerned when I hear the familiar drumbeats in Washington demanding we ‘show strength’, when we’re faced with what could be the worst European war in 75 years. We must do all we can to find a diplomatic solution in Ukraine. 
https://t.co/W2jaDl26uG"
157,"If Jeff Bezos can afford to dismantle a bridge in Europe so that his $500 million, 417-foot mega-yacht can get to the other side, you know what? Mr. Bezos can afford to pay his fair share of taxes to build a bridge out of poverty for working class families in America. https://t.co/boVynUD9T4"
158,"Question. Why is it that in the United States, a diabetic person who paid ~$90 for a vial of Humalog insulin in 2009, must now shell out some $300 for the EXACT same vial of insulin?

Answer. A Congress in Washington, D.C. who lacks the guts to take on Big Pharma's greed."
159,This is what a corrupt political system looks like. This is why billionaires get richer. This is what Oligarchy is all about. https://t.co/WyKfp3dt2r
160,"True tax rate for the 25 richest people in the United States: 3.4%
Average tax rate for a nurse: 24%

You know what? A nurse should not pay more in income tax than a billionaire. How's that for a radical idea?"
161,I have traveled all over this country. I have never met a single person who has told me they love paying the highest prices on the planet for their prescription drugs.
