,text
22,"A record 5.4 million new small businesses were created last year – and they continue to power our strong economic recovery.

@HouseDemocrats know entrepreneurs are the backbone of our economy. That's why we passed legislation delivering $55 billion in relief for small businesses."
23,Calling all aspiring service academy students in San Francisco: the deadline for this year’s U.S. Service Academy Nominations is September 15th. Find out more at https://t.co/1Zue7LT2Ys https://t.co/2vpQbmleQ9
24,"This evening, Jewish communities in America and around the world mark the beginning of #Passover: a season of renewal and resilience filled with symbolism and meaning. From my family to yours, chag sameach."
25,"Today, we mark one year since eight Americans were killed in a mass shooting at an Indianapolis FedEx facility. Of the eight victims, four were Sikh Americans. Democrats remain committed to ending the fear and anguish of gun violence for all Americans. #RememberingIndianapolis"
26,"In California and across the nation, we welcome all to be part of the American Dream and celebrate those who make the United States their home. It is in this spirit of E Pluribus Unum that I wish Thai and Lao Americans a wonderful and happy #Songkran. Happy New Year!"
27,"My office is working closely with @LondonBreed &amp; @POTUS to support Laguna Honda’s devoted staff &amp; ensure that the hospital can address its issues, come into full compliance &amp; continue to serve our community for decades to come. Read my full statement here: https://t.co/SB1IOPnvs7"
28,It is unfathomable that Laguna Honda could lose the vital federal funding it needs to support life-saving programs for some of our most vulnerable San Franciscans — especially as we continue to be threatened by the pandemic.
29,"Laguna Honda Hospital has long been a pillar of the health &amp; well-being for generations of San Francisco families. It is both urgent &amp; essential that city, state &amp; national officials work together to help address areas of concern &amp; protect this crucial health care provider."
30,"Small businesses are the lifeblood of America’s economy and are powering our recovery from the pandemic.
 
Last week, @HouseDemocrats passed bipartisan legislation to support restaurants and other hard-hit small businesses with $55 billion in pandemic recovery assistance."
31,"In March, America created 431,000 jobs &amp; slashed unemployment to 3.6% — reaching near pre-pandemic levels faster than any experts predicted.
 
Democrats continue to work to implement our economic strategy to lower costs &amp; increase wages across the country. https://t.co/zwaAeG6wQK"
32,".@HouseDemocrats &amp; @POTUS know that Putin’s Price Hike is weighing heavily on America’s families – and we remain laser-focused on #BuildingABetterAmerica: with lower costs, bigger paychecks &amp; more jobs for all of our families. Read my full statement here: https://t.co/gIArCFJ5ls"
33,"The Administration’s new action builds on bold steps in recent weeks to bring down gas prices, including by ordering an historic release from our Strategic Petroleum Reserve and working with our allies to secure releases from strategic reserves around the world."
34,"This homegrown biofuel is a cleaner, cheaper fuel option: helping save families money at the pump &amp; moving us closer to energy independence. Big Oil must join us in this effort by adding Unleaded 88 to more pumps &amp; gas stations, rather than put profits above the American people."
35,"Today, @POTUS took new action to bring down prices at the pump by propelling the development of homegrown ethanol: a powerful tool to fight Putin’s Price Hike. 
 
Doing so will reduce our dependence on foreign oil and empower America’s farmers to help fight Putin’s Price Hike."
36,"With the proud partnership of courageous survivors and advocates, Democrats are working to end gun violence. We will not stop until the job is done.
https://t.co/AQRtgbn3ho"
37,".@POTUS’ actions today are strong steps forward in the fight against the epidemic of gun crime. His life-saving new rule builds on his strong earlier executive orders to help stop the spread of ‘ghost guns,’ untraceable weapons posing a growing threat to families’ safety."
38,"Today, happily I tested negative for COVID. Tomorrow, I will be exiting isolation at the direction of the Capitol’s Attending Physician and consistent with CDC guidelines for asymptomatic individuals. Many thanks to everyone for their good wishes, chocolates and chicken soup."
39,"With the help of our #AmericanRescuePlan, our nation slashed the unemployment rate to 3.6% – near pre-pandemic levels. To build on this progress, Democrats remain laser-focused on lowering costs for working families as they face Putin's Price Hike. https://t.co/ooCkZo8nMB"
40,"As a daughter of Italy, I am proud of the enduring partnership that the Italian-American community has helped forge between our two nations.
 
Today, and every day, let us commit to preserving that precious bond for generations to come."
41,"Today, America celebrates 161 years of diplomatic relations with Italy – one of our most cherished friends and closest allies in the fight to defend democracy and promote peace around the world."
42,"With the help of @POTUS and @HouseDemocrats, our nation has created 7.9 million new jobs, unemployment has dropped to 3.6% and workers’ wages are on the rise. 

Now, we’re laser-focused on building on this historic recovery by working to lower costs for families."
43,"More Americans are getting hired with 431,000 jobs created last month– and we’re #BuildingABetterAmerica in the wake of the pandemic. 

To continue this strong jobs recovery, @HouseDemocrats are working to lower costs and increase wages. https://t.co/K0yBOk24cy"
44,"I’m overwhelmed with the wonderful well wishes and prayers, and thank everyone for the kindness. I remain asymptomatic thanks to the robust protection from the vaccinations and boosters, which I encourage everyone to get."
45,"As last month's jobs report showed, our nation has built a strong recovery: creating 7.9 million new jobs since @POTUS took office.

Democrats are focusing on lowering costs, growing paychecks and creating jobs for families while ensuring the richest few pay their fair share."
46,"Making the COMPETES Act law will deliver a key victory for our workers and families, while ensuring America can outcompete any nation – now and for decades to come. Read the full list of Members who will go to conference over the America COMPETES Act here: https://t.co/b5b57blu0b"
47,"Under the leadership of our committee chairs and conferees, the House will champion key priorities including investing $52 billion to make more semiconductor chips in America &amp; $45 billion to advance manufacturing at home — addressing supply chain disruptions that increase costs."
48,"Today, we take another step toward sending to the President’s desk a bipartisan, bicameral package to lower costs at home, make more goods in America and turbocharge our competitiveness in the world by announcing the Conference Committee for the America COMPETES Act of 2022."
49,"With Judge Jackson’s historic confirmation, our nation takes an important step toward realizing our most cherished ideals.  On behalf of the House, we wish her all the best as she continues her devoted public service. https://t.co/KIWzT6yXJe"
50,"On the bench, Judge Jackson will be a relentless defender of individual rights and the rule of law.  American families will greatly benefit from her extensive courtroom experience and background as a public defender that she will bring to the Court."
51,"During her nomination process, Judge Jackson demonstrated the magnificence of her legal mind, unyielding commitment to justice &amp; remarkable poise. In her appearances before the Judiciary Committee &amp; in meetings with Senators, she earned bipartisan recognition of her excellence."
52,"Today is a day of great pride and patriotism for our nation, as Judge Ketanji Brown Jackson makes history as the first Black woman to be confirmed to the Supreme Court."
53,"The House also passed the Ukraine War Crimes Act to ensure that perpetrators can be brought to justice. America is unwavering in our commitment to the Ukrainian people, and the Congress will continue to hold Russia to account. Read my full statement here: https://t.co/8NJ3vKs1WY"
54,"Putin’s aggression and barbaric war crimes have horrified the world and demand a strong response. Since the start, the United States Congress has taken action to punish Russia, choke off the Russian economy and support Ukraine, including through $13.6 billion in assistance."
55,"Today, the Congress took strong action to hold Russia accountable for its unprovoked, premeditated war against Ukraine. By again voting to ban the import of Russian oil and suspend normal trade relations, the House is sending to @POTUS’ desk additional action to isolate Russia."
56,"Yesterday, the House voted to hold Peter Navarro and Daniel Scavino in contempt of Congress for withholding key information on the #January6th attack. In doing so, we fulfill our duty to the Constitution and the nation to find the truth of that dark day. https://t.co/pbv5hCMRsX"
57,"For generations, America’s postal workers have tied our Republic closer together.

This bipartisan legislation delivers common-sense reforms to ensure that @USPS remains a pillar of our democracy for decades to come."
58,"This afternoon, I was proud to stand with @POTUS and Members of Congress for the signing of the Postal Service Reform Act of 2022. https://t.co/27m1sKpw80"
59,RT @NowatNPL: The smile on her face put one on ours. Speaker Pelosi visited Votes for Women last week. She’s the first female to lead the U…
60,"Join @POTUS, @VP, Congressional Leaders &amp; me @WhiteHouse for a signing ceremony of the Postal Service Reform Act, a package of bipartisan, common-sense reforms improving reliability for families &amp; small businesses &amp; securing the future of postal workers. https://t.co/okGYvxn3LL"
61,RT @EnergyCommerce: BREAKING: Big Oil refused to commit to scaling back stock buybacks. They would rather keep funneling money to their sha…
62,".@POTUS' decision to extend the pause on student loan payments is a key step forward in Democrats’ fight to help Americans struggling with rising costs.

This action will ensure that families have more money in their pockets as we remain laser-focused on #BuildingABetterAmerica."
63,"It was an honor to join @POTUS, @BarackObama and Members of Congress at the White House. With today’s bold action to strengthen the ACA, we are realizing a key priority of the Patient Protection and Affordable Care Enhancement Act passed by the House Democrats in 2020. https://t.co/Z9XhfIePav"
64,"Nearly half of Americans would join a union if given an opportunity. Workers are discovering the profound power of solidarity, from construction workers to brave Amazon employees. That is why the @HouseDemocrats twice passed the Richard L. Trumka PRO Act. https://t.co/txPvGfG7sY"
65,"Today, it was my privilege to bring greetings from Congress to the leaders, organizers and members of @NABTU.

@HouseDemocrats proudly stand with the labor movement as we fight to ensure that every American can access the rights and dignities that come with a union. #1u https://t.co/CNBgJMgrIp"
66,Democrats are #BuildingABetterAmerica For The People – and we will never relent in our fight to bring down the burdensome health costs weighing heavy on America’s families. Read my full statement here: https://t.co/sk4yCEjZHB
67,"Thanks to @POTUS &amp; @HouseDemocrats, health care is more affordable &amp; accessible than ever.

Our Rescue Plan saved families an average of $2,400 last year. And we are fighting to slash prescription drug prices, including by capping out-of-pocket insulin costs at $35/month."
68,"By delivering affordable coverage to families who only have unaffordable coverage options at work, we put more money in families' pockets and realize a key priority of the Patient Protection &amp; Affordable Care Enhancement Act passed by the House Democratic Majority in 2020."
69,".@POTUS Biden’s Executive Order today is a powerful step to lower families’ health costs. With this bold action to #ProtectOurCare, nearly a million Americans will see lower premiums &amp; hundreds of thousands of uninsured Americans will gain affordable coverage."
70,"Join @POTUS Biden, @VP Harris, @BarackObama &amp; me @WhiteHouse to take bold action to strengthen the ACA, which will lower health insurance premiums for nearly a million Americans &amp; bring affordable coverage to hundreds of thousands of uninsured Americans. https://t.co/nFkLBi7PW7"
71,"Join me at @NABTU’s Legislative Conference as we celebrate America’s builders and discuss how Democrats are investing in our infrastructure, strengthening our labor movement and #BuildingABetterAmerica. https://t.co/eFPug0NyNx"
72,"On this sad day, we also laid a sunflower wreath at the MLK Memorial: a tribute to the people of Ukraine as they courageously defend democracy. Congress and the Country remain unwavering in our unity and solidarity with the people of Ukraine and in our prayers for peace. https://t.co/6i9jv0LXSI"
73,"Today, I joined members of the King family and @OMarkarova at a candlelight vigil marking 54 years since the assassination of Dr. Martin Luther King Jr. We highlighted the importance of protecting democracy – here at home and around the world. https://t.co/4pE6HVWSQA"
74,"Justices O'Connor and Ginsburg blazed a trail in the field of law for generations of women to follow. With this bill, they take their rightful place among the heroes of history in our Capitol and ensure that all who walk these hallowed halls know of their extraordinary legacies. https://t.co/Ll7MJQUjAm"
75,"Today, I was proud to sign S. 3294, legislation that will bring to the United States Capitol statues of Justice Sandra Day O'Connor and Justice Ruth Bader Ginsburg: the first two women ever to serve on the Supreme Court. https://t.co/HVLs4b9MVu"
76,"Join members of the King family, @OMarkarova and me for a candlelight vigil in remembrance of Dr. Martin Luther King Jr. 54 years after his assassination and highlighting the importance of protecting democracy, not just in America, but around the world. https://t.co/Y67EIOMWm8"
77,"This morning, it was my privilege to welcome to the Speaker’s Office @DrTedros, Director-General of the @WHO. We discussed the COVID-19 pandemic, humanitarian emergencies in Ukraine and Yemen, and other global health issues. https://t.co/n5DKkJzALT"
78,"As a Californian, I am personally devastated by this horrific shooting. May it be a comfort to the loved ones of those murdered &amp; the Sacramento community that so many in our State &amp; across the nation mourn their loss &amp; pray for them during this sad time. https://t.co/dpVbwgVpRl"
79,"Too many families and communities across the nation have been shattered by the epidemic of gun violence plaguing our nation. Moved by the tireless activism of survivors and advocates, @HouseDemocrats passed commonsense and urgent action that will help end the bloodshed."
80,"Californians and all Americans join the Sacramento community in horror and anguish over this morning’s mass shooting. Our hearts are with the victims of this brutal violence and with their families, and we are grateful for the heroism of our first responders."
81,"See what happened around the United Sates Capitol this week with my Medium post, ‘Madam Speaker.’
https://t.co/SnYgb0wiju"
82,"As we continue to grapple with ongoing challenges, Ramadan serves as a powerful reminder to embrace the values of charity, selflessness and compassion for others. #RamadanMubarak to all who celebrate, and may this month bring peace and blessings to all. https://t.co/TtslobUnCO"
83,"The House has taken action to combat religious &amp; racial discrimination, passing the NO BAN Act &amp; Access to Counsel Act last year to protect civil rights &amp; prevent executive abuses of authority. We must honor our nation’s promise &amp; send religious bigotry to the dustbin of history."
84,"Despite the invaluable contributions of Muslim Americans, Islamophobia continues to threaten our Muslim communities and undermine Americans’ most cherished national values, with hate crimes against Muslims on the rise in recent years."
85,"For generations, America’s large and diverse Muslim communities have been essential to our nation’s success: whether serving on the frontlines of the pandemic, advancing the fight against injustice in our communities or enriching our cultural tapestry."
86,"Today at sundown, Muslim communities in America and around the world joyfully welcome the Holy Month of #Ramadan. Each year, the emergence of the new moon brings a season of self-reflection, spiritual renewal and gratitude for life’s blessings."
87,Calling all San Francisco high school artists: the deadline for this year’s Congressional Art Competition is April 24th! Find out more at https://t.co/wYyRbBfD8E
88,"Thank you @POTUS &amp; @SecretaryPete for delivering world-class transportation options for Bay Area families with the #AmericanRescuePlan. As we Build a Better America, @HouseDemocrats are fighting to expand clean, reliable public transit in San Francisco &amp; across the country."
89,"As a proud representative for San Francisco, it was my privilege to secure more than $116 million for the @SFMTA_Muni Van Ness Buss Rapid Transit System to provide easier commutes, reduce congestion, improve safety and help combat the climate crisis. https://t.co/7u8v3KZho2"
90,"President Biden and the Democratic Congress are #BuildingABetterAmerica For The People: lowering costs, growing paychecks and creating jobs for families while ensuring the richest few pay their fair share. https://t.co/ByWa3IwZo1"
91,".@HouseDemocrats remain focused on lowering costs for America’s families by passing legislation to cap families’ out-of-pocket cost of insulin at $35 per month &amp; enacting our competitiveness bill, which will help bring down prices for consumers by making more goods in America."
92,"The March job report shows Democrats’ economic strategy continues to power a strong jobs recovery. Since @POTUS took office, our nation has created 7.9 million new jobs, slashed the unemployment rate to 3.6% &amp; workers’ wages are rising with the help of our #AmericanRescuePlan."
93,"Today, the Democratic House passed the #AffordableInsulinNow Act — capping the out-of-pocket cost of insulin at $35 per month and putting money back into the pockets of hard-working families and vulnerable seniors. https://t.co/Hnk4rR4UtZ"
94,"Trans rights are human rights. We see you. We love you. We value you. Today and every day, we are proud to stand with the trans and non-binary community in the fight to ensure you are accepted just as you are. #TransDayOfVisibility https://t.co/vWadVMSrqT"
95,Join me live at the U.S. Capitol for my weekly press conference. https://t.co/pNXGOANBaa
96,"Read My Full Statement on César Chávez Day
https://t.co/XSVqQyvVHL"
97,"As Americans celebrate César Chávez’s remarkable achievements, let his example inspire our shared fight to defend the fundamental rights &amp; dignities of working people. Today, &amp; every day, we proudly stand with our partners in the labor movement as we work to #BuildaBetterAmerica."
98,"While Democrats continue fighting to enact these urgently needed reforms, our Bipartisan Infrastructure Law is delivering historic investments to communities across the country – creating good-paying union jobs with Davis-Bacon prevailing wage protections."
99,House Democrats have also twice passed the Richard L. Trumka PRO Act to reform our nation’s outdated labor laws and strengthen Americans’ right to join a union.
100,"Building on Chávez’s legendary advocacy, House Democrats have taken action to ensure that nobody who works to feed our country is limited to permanent second class status, twice passing the bipartisan Farm Workforce Modernization Act."
101,"Today, Californians and all Americans honor César Chávez, a fearless champion for justice and a tireless civil rights activist.  Chávez was an icon of the modern labor movement, leading the United Farm Workers’ fight for better pay and protections against exploitation."
102,"This morning, I spoke to West Point cadets about Congress’ role in advancing our national security and shared some of the lessons I’ve learned during my time in Congress. Our nation is honored by the service &amp; dedication of these cadets and all US servicemembers. https://t.co/DuxSb0KxQp"
103,"As Speaker of the House, it was my official honor to welcome His Excellency @LeeHsienLoong, Prime Minister of the Republic of Singapore, to the United States Capitol today for a bipartisan leadership meeting. https://t.co/EaUNRuL7os"
104,"RT @PressSec: Actually, the biggest tax hike of the century would be the Senate GOP plan, which would be around $100 billion in 2022 alone.…"
105,"Join His Excellency @LeeHsienLoong, Prime Minister of the Republic of Singapore and me live at the United States Capitol for a photo opportunity. https://t.co/pv4wUtciwn"
106,It was an honor to welcome Ambassador @OMarkarova and women Members of the @UA_Parliament to the United States Capitol to discuss the ongoing Russian invasion of Ukraine. https://t.co/5QjzLp32qI
107,"Last night, I had the privilege of meeting with the Honorable @MKMickeyLevy, Speaker of the Knesset of the State of Israel to discuss bilateral relations and regional security. I also expressed condolences for the victims of the recent terrorist attacks in Israel. https://t.co/snnAr454Vn"
108,"Today, I was proud to join @POTUS for the signing of the Emmett Till Antilynching Act. With his signature, lynching is finally designated as a federal hate crime — a long-overdue action to correct an historic injustice and build a safer future our all our children. https://t.co/e0BRkTSOu2"
109,"It was clear that he was passionate about this institution and its unique ability to make a difference for Alaska and America. While we are all devastated by his loss, his many friends in the House will strive to live up to his towering legacy. https://t.co/IMiPUebq6k"
110,"Today, it was my solemn, official honor to welcome back to the United States Capitol the Dean of the House, Congressman Don Young. The longest-serving Republican in the history of the House, he once stated: “I love this body.  I believe in this body.  My heart is in the House.” https://t.co/FoMpGR5Y3j"
111,"Join @POTUS Biden, Congressional Leaders and me at the @WhiteHouse for the signing of the Emmett Till Antilynching Act, landmark legislation that will designate lynching as a federal hate crime. https://t.co/aqT02NwT3i"
112,"Join Members of Congress and me at the U.S. Capitol for a Departure Ceremony for Congressman Donald Edwin Young, the Dean of the U.S. House of Representatives. https://t.co/9pmRk9Yijq"
113,"Join Members of Congress and me at the U.S. Capitol for a Congressional Tribute to pay respects to Congressman Donald Edwin Young, the Dean of the U.S. House of Representatives. https://t.co/det9LmUi8z"
114,"The tireless work of the Select Committee to Investigate January 6th continues to be essential to understanding the deadly insurrection, holding those responsible to account and preventing a future assault on our democracy."
115,"This ruling is a victory for the rule of law: allowing @January6thCmte to review documents related to the deadly insurrection.
 
The Court also found that, in plotting to subvert the 2020 election, the former President most likely committed federal crimes.
https://t.co/zGHoOO5HxE"
116,"I am deeply moved by the thousands of students who have spoken up and walked out to protest this bigoted legislation.

@HouseDemocrats proudly stand with them, and we will continue fighting to enact long overdue protections for LGBTQ Americans – starting with the #EqualityAct."
117,"This cruel legislation is an affront to our Nation’s cherished values and sends a harmful message to our children.
 
@GovRonDeSantis and Florida Republicans have chosen to needlessly bully, isolate and demean LGBTQ students.
https://t.co/tMJ2yyNUTW"
118,.@POTUS' budget honors this truth: our federal budget must be a statement of our national values. The Congress looks forward to working with the @WhiteHouse to pass a budget that will serve as a crucial foundation for our work #BuildingABetterAmerica. https://t.co/H3sa6zKnBm
119,"Democrats' commitment to fiscal responsibility has put the nation on track to slash the deficit by an historic $1.3 trillion this year, and this proposal aims to build on that progress by further reducing the deficit by more than $1 trillion over the next decade."
120,"The investments proposed in the #BidenBudget demonstrate a strong focus on ensuring community safety, with more investments in police and violence prevention. It would also invest in national security, as America continues to counter Russia’s unprovoked war in Ukraine."
121,"This bold fiscal blueprint proposes deeply needed investments in communities across the country to help lower the everyday costs weighing on families, grow workers’ paychecks and create good-paying jobs – all while ensuring the wealthiest few pay their fair share."
122,"Today, @POTUS submitted to the Congress a strong, visionary budget request that would make progress #ForThePeople. As our nation continues our record-setting recovery from the pandemic, the Biden budget would help meet the needs of America’s families."
123,"See what happened in my travels this week with my Medium post, ‘Madam Speaker.’ https://t.co/cTjZCSTza7"
124,"RT @RepLloydDoggett: Discussed the need to get coverage to the almost two million Texans left uninsured by GOP refusal to expand Medicaid,…"
125,"RT @RepColinAllred: Texas has one of the highest rates of uninsured folks in our nation, and as we saw over the pandemic, having health car…"
126,"Today, President Biden delivered a powerful, unifying speech that reaffirmed America’s ironclad commitment to democracy.

Thank you @POTUS for your strong leadership in Poland rallying our Allies to continue supporting the brave Ukrainian people &amp; countering Russia’s aggression."
127,"Maya Angelou was defined by courage, from her searing poetry and tireless activism to her unshakeable spirit. A timeless inspiration, her likeness will reflect centuries of progress as it appears alongside a basic idea: “E Pluribus Unum” – out of many, one. https://t.co/IewOz0fOHt"
128,"Today, I was proud to join @RepBarbaraLee, @RosieRios, former Mayor Willie Brown and Bay Area leaders to celebrate the release of the Maya Angelou Quarter – the first coin in the American Women Quarters Program. https://t.co/ftwMAqjbFS"
129,"Join @RepBarbaraLee, @RosieRios, former Mayor Willie Brown, special guests and me at San Francisco’s Western Addition Library for a #WomensHistoryMonth event celebrating the American Women Quarters program, starting with the Maya Angelou quarter. https://t.co/r0wQNhV6Rh"
130,See an excerpt from @FrontlinePBS’ documentary on my nearly 35 years fighting #ForThePeople in Congress. https://t.co/Sjam5AGWNI
131,"Join live for a roundtable with domestic violence survivors, experts and advocates to celebrate the reauthorization of the Violence Against Women Act and acknowledge the lifesaving resources provided one year ago in the American Rescue Plan. https://t.co/EYYrGCYocW"
132,"Secretary Albright truly blessed our nation with her pioneering and patriotic service. Read my full statement on the passing of Secretary Madeleine Albright:
https://t.co/itDDUQhpaF"
133,"Secretary Albright’s family arrived in Ellis Island as refugees in 1948, and she rose to become a barrier-breaking leader on the world stage.  She was a force in advancing America’s security, and her warnings about the rise of autocracy remain a guide for us today."
134,"Today, we lost a towering champion for peace, diplomacy and democracy: Secretary Madeleine Albright.
 
As the first woman to serve as our top diplomat, she paved the way for generations of women serving at the highest levels of government and representing our nation abroad."
135,"In the face of these cruel Republican attacks, Democrats will never relent in our fight to defend working families. Today, werenew our commitment to #BuildingaBetterAmerica and lowering health care costs and prescription drug prices.
https://t.co/BRYBOWmi3f"
136,"Meanwhile, Republicans continue to promise to wage a shameful assault on the Affordable Care Act, threatening to rip away protections and coverage from millions of working families."
137,"Last year, amid the darkness of the pandemic, Democrats took action to expand the promise of the Affordable Care Act to lower health costs even further for millions more families."
138,"The Affordable Care Act stands alongside Medicare, Medicaid and Social Security as a pillar of health and financial security – especially for the 130 million Americans living with pre-existing conditions, who now enjoy life-saving protections."
139,"Today, our nation celebrates this landmark law’s essential role in safeguarding Americans’ health and preserving families’ hard-earned savings through quality, affordable insurance."
140,"Twelve years ago, when President Obama signed the #AffordableCareAct into law, our nation took an historic step toward fulfilling a fundamental promise: that health care is a right, not a privilege."
141,"Join me and @MarkKUpdegrove live in conversation at the LBJ Presidential Library in Austin, Texas, on the state of democracy at home and abroad, as well as House Democrats’ legislative agenda. https://t.co/9866jQwt2n"
142,"Democrats are fighting to #ProtectOurCare, working to strengthen the ACA &amp; extend coverage to more Americans.
 
Meanwhile, Republicans happily admit that they want to hike costs, terminate protections &amp; endanger more than 130 million Americans’ health care.https://t.co/ifZZ0p1BGS"
143,"See what happened behind-the-scenes last week with my Medium post, ‘Madam Speaker.’ https://t.co/D9HiQZopre"
144,"For thousands of years, Nowruz has been a time to gather with loved ones and joyfully face all that the future may bring. May all who celebrate today be blessed with the love of family and friends.  #NowruzMobarak!
https://t.co/bjHvXlHG6Q"
145,"As we welcome this season of renewal, we recognize Iranian Americans’ innumerable contributions in California and across the nation.  From enriching our culture to blazing trails as leaders, generations of Iranian Americans have proudly made America more American."
146,"Today, Iranian Americans and millions around the globe celebrate #Nowruz and the promise of a new year.  Arriving amid the warmth of spring, Norwuz offers a moment to reflect on the progress of the past year while drawing hope for all that still lies ahead."
147,"Republicans are still plotting to terminate protections for more than 130 Americans with pre-existing conditions – shamelessly ignoring their constituents, health experts and common sense.
https://t.co/ifZZ0p1BGS"
148,"For generations, America’s postal workers have bound our Republic closer together. Congress is ensuring that @USPS remains a pillar of our democracy – delivering prescriptions, Social Security benefits, paychecks, tax returns, absentee ballots and more to Americans everywhere. https://t.co/VkT6dZViry"
149,"Today, I was proud to send the #PostalServiceReformAct to @POTUS – a historic, bipartisan legislation that will strengthen @USPS, providing more predictability for small businesses, more reliable service for families, and a more secure future for postal workers. https://t.co/CkDbJCnNKS"
150,Looking forward to cheering on @USFDonsMBB for their return to the Big Dance tonight. Go Dons!
151,"Join @WhipClyburn, @RepMaloney, @FrankPallone, @RepStephenLynch, @RepLawrence and me at the U.S. Capitol for a bill enrollment ceremony for the #PostalServiceReform Act.  https://t.co/69ZZFE8o0h"
152,Join me at the U.S. Capitol for the Annual Friends of Ireland Luncheon. https://t.co/WgoI8CaSE6
153,Join @POTUS Biden and me at the U.S. Capitol for the Annual Friends of Ireland Luncheon. https://t.co/dzbMPJ0foI
154,Join me live at the U.S. Capitol for my weekly press conference. https://t.co/Pq5eGtdtUp
155,"From my family to yours, Happy St. Patrick's Day! https://t.co/4UlwKWtyrC"
156,"With @POTUS’ signature for the government funding bill, Democrats in Congress took another step in the fight to #BuildABetterAmerica yesterday with federal investments to help lower costs and create jobs for America’s families. https://t.co/owcStl80OB"
157,"Our AAPI communities have long been subjected to hateful violence – and this crisis has surged during the pandemic. With the COVID-19 Hate Crimes Act, Congress took historic action to continue combating racist violence, stamping out hate and holding offenders accountable. https://t.co/XgwbDL79kE"
158,"Earlier today, Members of Congress paid tribute to the eight Americans murdered in an act of bigotry in Georgia one year ago – six of whom were Asian American women. We must never relent in our fight to #StopAsianHate https://t.co/KAYMx1eI2k"
159,"On behalf of the United States Congress, I salute our partners in the G7 and the EU for the unity, commitment and determination they bring to our shared effort to advance our shared values and promote peace. Read my full statement here: https://t.co/Vo4dNUVvBB"
